feature,mean,std,min,max,seeds_non_zero,sign_stable
Number_of_Priors,0.7353678696567388,0.02139453642363938,0.7178977090361098,0.7592297905062902,3,True
Age_Below_TwentyFive,0.5539111120071983,0.023994192090766687,0.5265062445612694,0.5711421692991919,3,True
Age_Above_FourtyFive,-0.5406741653418732,0.029355434090439454,-0.5733029725614485,-0.5164060069452582,3,True
Female,-0.2199137515930567,0.022895430997342578,-0.2459213554286085,-0.20279848185906005,3,True
Misdemeanor,-0.2054542553305968,0.05528848999113105,-0.2613818827671527,-0.1508278743599377,3,True
