seed,max_depth,n_estimators,roc_auc,accuracy,precision,recall,f1,brier_score,true_negatives,false_positives,false_negatives,true_positives
7,2,150,0.7233360477598048,0.6728744939271255,0.659919028340081,0.5800711743772242,0.6174242424242424,0.21088659763336182,505,168,236,326
21,2,150,0.7228376684839224,0.680161943319838,0.6728778467908902,0.5782918149466192,0.6220095693779905,0.21145756542682648,515,158,237,325
42,2,150,0.7320570241072798,0.6906882591093118,0.6867219917012448,0.5889679715302492,0.6340996168582376,0.20831309258937836,522,151,231,331
